Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1526828400.0,2018-05-20 03-PM,ETHUSD,712.49,714.53,709.09,714.53,18.05,12867.45
1526824800.0,2018-05-20 02-PM,ETHUSD,709,712.49,709,712.49,29.44,20923.32
1526821200.0,2018-05-20 01-PM,ETHUSD,709.85,712.49,706.45,709,28.84,20453.67
1526817600.0,2018-05-20 12-PM,ETHUSD,713.45,715.07,709.85,709.85,60.05,42738.45
1526814000.0,2018-05-20 11-AM,ETHUSD,713,715,710.01,713.45,40.74,29047.05
1526810400.0,2018-05-20 10-AM,ETHUSD,712,717.07,710.05,713,136.2,97423.44
1526806800.0,2018-05-20 09-AM,ETHUSD,711,714,708.25,712,91.1,64850.73
1526803200.0,2018-05-20 08-AM,ETHUSD,709.85,713.24,705,711,54.09,38429.22
1526799600.0,2018-05-20 07-AM,ETHUSD,707,714,703,709.85,1139.54,810186.69
1526796000.0,2018-05-20 06-AM,ETHUSD,703,708,703,707,46.98,33066.88
1526792400.0,2018-05-20 05-AM,ETHUSD,703,707.91,703,703,44.17,31122.68
1526788800.0,2018-05-20 04-AM,ETHUSD,703,706.22,703,703,9.33,6565.58
1526785200.0,2018-05-20 03-AM,ETHUSD,707,707.56,703,703,250.92,177044.29
1526781600.0,2018-05-20 02-AM,ETHUSD,696.41,707,693.27,707,44.06,30892.25
1526778000.0,2018-05-20 01-AM,ETHUSD,687,697.83,686,696.41,61.7,42591.95
1526774400.0,2018-05-20 12-AM,ETHUSD,699.44,699.44,686,687,71.29,49420.23
1526770800.0,2018-05-19 11-PM,ETHUSD,691.72,699.44,690.52,699.44,62.62,43625.0
1526767200.0,2018-05-19 10-PM,ETHUSD,688,697.63,685.15,691.72,76.65,53032.93
1526763600.0,2018-05-19 09-PM,ETHUSD,699.99,700.4,687.5,688,139.49,96631.72
1526760000.0,2018-05-19 08-PM,ETHUSD,702.37,703.73,699.99,699.99,7.45,5235.96
1526756400.0,2018-05-19 07-PM,ETHUSD,700.55,703.74,699.75,702.37,15.26,10687.46
1526752800.0,2018-05-19 06-PM,ETHUSD,698.01,705.61,698.01,700.55,211.28,148290.42
1526749200.0,2018-05-19 05-PM,ETHUSD,701,704.88,698.01,698.01,35.22,24665.44
1526745600.0,2018-05-19 04-PM,ETHUSD,709.85,709.85,700.3,701,70.88,49797.86
1526742000.0,2018-05-19 03-PM,ETHUSD,708.17,710.53,703.5,709.85,152.33,107932.05
1526738400.0,2018-05-19 02-PM,ETHUSD,702,708.17,702,708.17,68.46,48357.47
1526734800.0,2018-05-19 01-PM,ETHUSD,711,715.56,701.3,702,273.69,194325.54
1526731200.0,2018-05-19 12-PM,ETHUSD,709,712,705.11,711,172.76,122645.2
1526727600.0,2018-05-19 11-AM,ETHUSD,695,709,690.2,709,130.23,91048.44
1526724000.0,2018-05-19 10-AM,ETHUSD,688.5,695,688,695,39.86,27688.96
1526720400.0,2018-05-19 09-AM,ETHUSD,690,693.37,686.01,688.5,122.26,84269.05
1526716800.0,2018-05-19 08-AM,ETHUSD,681,690,681,690,42.85,29421.08
1526713200.0,2018-05-19 07-AM,ETHUSD,691.89,691.95,681,681,116.29,79650.81
1526709600.0,2018-05-19 06-AM,ETHUSD,689,695,688.2,691.89,23.62,16323.89
